city,rating,industry,title,homepage_available,phone,html5,address,homepage,email
Köln,5.0,Zahnarzt und Kieferorthopäde,Zahnärztliche Gemeinschaftspraxis Dres. Förster-Marenbach & Marenbach,1,02203 699470,1,"Kölner Str. 48, 51149, Köln",http://www.zahnarzt-koeln-porz.de/,zahnarztporz@aol.com
Mannheim,0.0,Plastischer Chirurg,Mannheimer Klinik für Plastische Chirurgie,1,0621 152800,1,"Mollstr. 45, 68165, Mannheim",http://www.beautyclinic.de/,info@beautyclinic.de
Bernkastel-Kues,0.0,Orthopäde,Orthopädische Praxis Dr. Martin Quarz,1,06531 921732,0,"Panoramastr., 54470, Bernkastel-Kues",http://www.drquarzmartin.homepage.t-online.de/,drquarz.reha@t-online.de
Oppenau,0.0,Zahnarzt und Kieferorthopäde,Praxis Dr. med. dent. Alexander Oberle Master of Science,1,07804 3571,0,"Dreikönigweg 2, 77728, Oppenau",http://www.zahnarzt-oberle.de/,info@zahnarzt-oberle.de
Essen/Ruhr,0.0,Zahnarzt,A - B - C Acht Ärzte im Team Dr. Herold und Kollegen,1,0201 233222,0,"Limbecker Platz 4, 45127, Essen/Ruhr",http://www.doktor-herold.de/,drthomasherold@yahoo.de
Gevelsberg,0.0,"Betten & Bettwaren Einzelhandel, Sexshop",Schind-Luder GbR,1,02332 7886848,1,"Im Twiesack 1, 58285, Gevelsberg",http://www.schind-luder.de,info@schind-luder.de
Koblenz,0.0,"Arzt für Naturheilkunde, Internist",Internistische Praxis Peter Emsbach,,0261 25061,,"Rübenacher Str. 5-6, 56072, Koblenz",http://www.emsbach.de/,
Ingolstadt,0.0,Zahnarzt,"Gemeinschaftspraxis Dr. Dirk Müller-Busch, Dr. Astrid Wildenhof, Heidemarie Drechsler",,0841 56269,,"Hofmillerstr. 21, 85055, Ingolstadt",http://www.dr-mueller-busch.de/,
Freital,0.0,"Partyservice & Catering, Sexshop, Unterwäsche Einzelhandel, Veranstaltungsorganisation",Ertupajoyz,1,035127684375,1,"Rabenauer Straße 30, 01705, Freital",http://www.Ertupajoyz.de,Ertupajoyz@gmail.com
Duisburg,0.0,Erotische Massage,Danny Wellness,1,0176 92308098,1,"Brückenstr. 38, 47053, Duisburg",http://www.danny-wellnessclub.de,info@danny-wellnessclub.de
Düsseldorf,0.0,Sexshop,CityBoys,1,02111697674,1,"Spichernstraße 50, Hinterhof, 40476, Düsseldorf",http://www.cityboys.eu,wiwo100@yahoo.de
Mönchengladbach,0.0,Pathologe,Institut für Pathologie Dr. med. Rösler & Dr. med. Ortloff,1,02166 628900,0,"Limitenstr. 90, 41236, Mönchengladbach",http://www.patho-institut.de/,info@patho-institut.de
Köln,0.0,Zahnarzt,Praxis für Zahnheilkunde - Dr. Günther Schlimbach,1,0221 631660,1,"Buschfeldstr. 31, 51067, Köln",http://www.drschlimbach.de/allesklar,kontakt@drschlimbach.de
Bonn,0.0,"Allergologe, Arzt für Naturheilkunde, Dermatologe (Hautarzt)",Dr. med. Dr. troph. Gordana Rosen,,0228 637323,,"Friedensplatz 7, 53111, Bonn",http://www.dr-rosen.de/,
Trier,0.0,"Bekleidung Einzelhandel, Sexshop",Boutique SECRETS,1,01523 4145286,1,"Margaretengässchen 2, 54290, Trier",http://www.secrets-trier.de,secrets.trier@gmail.com
Detmold,0.0,"Kosmetik & Körperpflege Versandhandel, Sexshop",Ahlantis GbR Elena & Marco Schulze,1,05231 8795541,1,"Alter Mühlenweg 2, 32760, Detmold",http://www.ahlantis.de,info@ahlantis.de
Norderstedt,0.0,"Künstleragentur, Sexshop",stripper-kiel,1,04031709986,1,"Glojenbarg 26, 22848, Norderstedt",http://www.stripper-kiel.com,info@strip-hamburg.de
Bad Blankenburg,0.0,"Bar, Bar, Kino, Sexshop",Star-Erotic B88,1,036741589540,1,"Rudolstädter Straße 35, B88 Landstraße, 07422, Bad Blankenburg",http://www.starerotic-b88.de,info@starerotic-b88.de
Hamburg,0.0,"Sexkino, Sexshop",Seventhheaven LTD&CoKg,1,040 28056392,0,"Steindamm 14, 20099, Hamburg",http://www.seventhheaven.de,christa.grabbert@seventhheaven.de
Essen/Ruhr,5.0,Chirurg,LASER Forum Essen GmbH,1,0201 1892998,0,"Theaterplatz 1, 45127, Essen/Ruhr",http://www.lf-essen.de/,info@lf-essen.de
Köln,0.0,Zahnarzt,"Laig, Dr.med.dent. Oliver",1,0221 37996639,1,"Hohenzollernring 2-10, 50672, Köln",http://www.zahnarzt-am-rudolfplatz.de/,kontakt@zahnarzt-am-rudolfplatz.de
Moers,0.0,Zahnarzt,Zahnärztliche Gemeinschaftspraxis Dr. Andreas Grundmann & Ursula Böhme,1,02841 21010,0,"Homberger Str. 72, 47441, Moers",http://www.zahnschmerz24.de/,andygrundmann@gmx.de
Bad Soden am Taunus,0.0,Zahnarzt,Kinder- und Jugendzahnmedizin Dr. Andrea Galm,1,06196 9997996,0,"Königsteiner Str. 122, 65812, Bad Soden am Taunus",http://www.zahnwunderland.de/,info@zahnwunderland.de
München,0.0,Zahnarzt,Gemeinschaftspraxis für Kinderzahnheilkunde Dr. Butz & Kollegen,1,089 3832900,0,"Marschallstr. 11, 80802, München",http://www.deinekinderzahnaerztin.de/,info@deinekinderzahnaerztin.de
München,0.0,Augenarzt,"Zarth, Dr. med. Andreas",1,089 20207373,1,"Theatinerstr. 15, 80333, München",http://www.augenarzt-fuenf-hoefe.de/,mail@augenarzt-fuenf-hoefe.de
Reutlingen,0.0,"Tierarzt, Tierklinik",Kleintierklinik Hüttig,1,07121 93210,0,"Kurrerstr.  40-3, 72762, Reutlingen",http://www.tierklinik-huettig.de/,anmeldung@tierklinik-huettig.de
Berlin,0.0,"Sauna- & Erotikclub, Stripclub & Tabledance",Chez Michelle,1,030 23607236,1,"Marburger Str. 15, 10789, Berlin",http://www.chez-michelle.de/,info@chez-michelle.de
Karlsruhe,5.0,"Allergologe, Dermatologe (Hautarzt)",Praxis Dr. Krull,1,0721  913500,0,"Leopoldstr. 5, 76133, Karlsruhe",http://www.dr-krull.de/,post@dr-krull.de
Gelsenkirchen,0.0,Zahnarzt,Zahnarztpraxis Dr. Victor Barna,1,0209 22718,1,"Ahstr. 8, 45879, Gelsenkirchen",http://www.dr-barna.de/,info@dr-barna.de
Bahlingen,0.0,Zahnarzt,Zahnarztpraxis Marcus Hamschmidt,1,07663 3988,0,"Riegelerstr. 3, 79353, Bahlingen",http://www.zahnarzt-hamschmidt.de/,info@zahnarzt-hamschmidt.de
Berlin,0.0,"Massage, Sexshop",Dreamland,1,03034660184,1,"Danziger Straße 197, bei Massagen klingeln, 10407, Berlin",http://www.dreamland-berlin.de,dreamland-massagen@t-online.de
Nürnberg,0.0,Erotische Massage,Deluxe Massagen,1,0911 5963573,0,"Hillerstr. 6, 90429, Nürnberg",http://www.deluxe-massagen.com,studio@deluxe-massagen.com
Rüsselsheim am Main,0.0,"Redaktion, Sexshop",monadikosescort,1,061424006183,0,"Uranstraße 10, 65428, Rüsselsheim am Main",http://www.monadikosescort.de,info@monadikosescort.de
Hamburg,0.0,Sexshop,masculan / M.P.I. Pharmaceutica,1,0403037240,0,"An der Alster 47, 20099, Hamburg",http://www.masculan.de,info@mpi-pharma.de
Berlin,0.0,Erotische Massage,Massagen-privat,1,0174 3679760,0,"Friesickestr. 33, 13086, Berlin",http://www.massagen-privat.de,massagen-privat@t-online.de
Leipzig,0.0,Erotische Massage,Magic Moments Massagelounge,1,0341 23659782,1,"Föpplstr. 14, 04347, Leipzig",http://www.magic-moments-leipzig.de,info@magic-moments-leipzig.de
Essen/Ruhr,0.0,"Bekleidung Einzelhandel, Damenbekleidung Einzelhandel, Schuhe Einzelhandel, Sexshop, Unterwäsche Einzelhandel",Kinky Lady,1,020136538810,0,"Flachsmarkt 4, 45127, Essen/Ruhr",http://www.kinkylady.de,info@kinkylady.de
Erfurt,0.0,Sexshop,Express18.de - S&L Handels GbR,1,0361 54183527,0,"Spielbergtor 12 d, 99099, Erfurt",http://www.express18.de,info@express18.de
Nürnberg,0.0,"Online Shop, Sexshop",heissehimbeere24 - Anna Jäger,1,0911 96585915,1,"Winterstr. 8, 90431, Nürnberg",http://www.heissehimbeere24.de/,info@heissehimbeere24.de
Berlin,0.0,"Diskothek, Sauna- & Erotikclub",Insomnia Erotic Nightclub,1,030 91909891,1,"Alt-Tempelhof 17 - 19, 12099, Berlin",http://www.insomnia-berlin.de,dominique@insomnia-berlin.de
